687,257 781,257 781,351 687,351
682,258 776,258 776,352 682,352
678,259 772,259 772,353 678,353
674,262 768,262 768,356 674,356
669,264 763,264 763,358 669,358
666,264 760,264 760,358 666,358
662,264 754,264 754,356 662,356
659,264 751,264 751,356 659,356
654,263 746,263 746,355 654,355
650,262 742,262 742,354 650,354
646,263 738,263 738,355 646,355
642,263 734,263 734,355 642,355
639,266 731,266 731,358 639,358
639,266 731,266 731,358 639,358
635,267 727,267 727,359 635,359
631,269 723,269 723,361 631,361
628,271 718,271 718,361 628,361
624,271 714,271 714,361 624,361
617,270 707,270 707,360 617,360
612,268 702,268 702,358 612,358
608,268 698,268 698,358 608,358
604,268 694,268 694,358 604,358
601,271 691,271 691,361 601,361
597,272 687,272 687,362 597,362
594,273 684,273 684,363 594,363
591,274 681,274 681,364 591,364
589,275 677,275 677,363 589,363
586,273 674,273 674,361 586,361
583,272 671,272 671,360 583,360
580,272 668,272 668,360 580,360
577,273 665,273 665,361 577,361
575,273 663,273 663,361 575,361
572,276 660,276 660,364 572,364
570,277 658,277 658,365 570,365
567,279 655,279 655,367 567,367
564,279 652,279 652,367 564,367
563,278 649,278 649,364 563,364
560,277 646,277 646,363 560,363
560,277 646,277 646,363 560,363
557,276 643,276 643,362 557,362
555,276 641,276 641,362 555,362
553,278 639,278 639,364 553,364
550,278 636,278 636,364 550,364
546,282 632,282 632,368 546,368
544,282 630,282 630,368 544,368
542,282 628,282 628,368 542,368
540,281 626,281 626,367 540,367
539,282 623,282 623,366 539,366
538,282 622,282 622,366 538,366
536,281 620,281 620,365 536,365
534,282 618,282 618,366 534,366
533,283 617,283 617,367 533,367
531,284 615,284 615,368 531,368
528,286 612,286 612,370 528,370
527,286 611,286 611,370 527,370
525,287 609,287 609,371 525,371
523,286 607,286 607,370 523,370
522,285 604,285 604,367 522,367
519,285 601,285 601,367 519,367
518,285 600,285 600,367 518,367
517,286 599,286 599,368 517,368
515,287 597,287 597,369 515,369
515,287 597,287 597,369 515,369
513,289 595,289 595,371 513,371
511,288 593,288 593,370 511,370
509,288 591,288 591,370 509,370
508,287 590,287 590,369 508,369
505,285 587,285 587,367 505,367
504,284 584,284 584,364 504,364
502,285 582,285 582,365 502,365
500,285 580,285 580,365 500,365
499,286 579,286 579,366 499,366
497,287 577,287 577,367 497,367
494,288 574,288 574,368 494,368
494,289 574,289 574,369 494,369
491,289 571,289 571,369 491,369
490,288 570,288 570,368 490,368
487,288 567,288 567,368 487,368
486,288 564,288 564,366 486,366
483,288 561,288 561,366 483,366
482,289 560,289 560,367 482,367
479,289 557,289 557,367 479,367
478,291 556,291 556,369 478,369
476,291 554,291 554,369 476,369
474,291 552,291 552,369 474,369
472,290 550,290 550,368 472,368
469,288 547,288 547,366 469,366
469,289 547,289 547,367 469,367
468,288 546,288 546,366 468,366
466,288 542,288 542,364 466,364
464,288 540,288 540,364 464,364
462,289 538,289 538,365 462,365
460,290 536,290 536,366 460,366
459,290 535,290 535,366 459,366
456,290 532,290 532,366 456,366
455,290 531,290 531,366 455,366
454,289 530,289 530,365 454,365
451,288 527,288 527,364 451,364
451,288 527,288 527,364 451,364
449,290 523,290 523,364 449,364
447,289 521,289 521,363 447,363
446,290 520,290 520,364 446,364
445,290 519,290 519,364 445,364
443,291 517,291 517,365 443,365
442,290 516,290 516,364 442,364
440,289 514,289 514,363 440,363
438,287 512,287 512,361 438,361
436,285 510,285 510,359 436,359
435,284 509,284 509,358 435,358
434,284 508,284 508,358 434,358
433,286 505,286 505,358 433,358
433,287 505,287 505,359 433,359
432,288 504,288 504,360 432,360
430,288 502,288 502,360 430,360
429,288 501,288 501,360 429,360
428,290 500,290 500,362 428,362
424,287 496,287 496,359 424,359
423,287 495,287 495,359 423,359
421,286 493,286 493,358 421,358
419,285 491,285 491,357 419,357
418,285 488,285 488,355 418,355
417,286 487,286 487,356 417,356
414,287 484,287 484,357 414,357
413,287 483,287 483,357 413,357
412,285 482,285 482,355 412,355
410,283 480,283 480,353 410,353
409,283 479,283 479,353 409,353
407,282 477,282 477,352 407,352
407,281 477,281 477,351 407,351
406,280 476,280 476,350 406,350
404,279 474,279 474,349 404,349
